ID;Nazwa;ID TRAM;ID BUS;Lat;Lon;Strefa;Dzielnica;Ulica;Exit-only (E)/Tram (T)/Bus (B);NŻ;Ex ID;Ex Nazwa
2436-1;Wola Radziszowska Chorzyny 01;;2436-01;49.904029722;19.777200555;;;;;;;
2436-2;Wola Radziszowska Chorzyny 02;;2436-02;49.903790000;19.775557777;;;;;;;
2794-1;Wola Radziszowska Kapelanka 01;;2794-01;49.904606388;19.824823333;;;;;;;
2794-2;Wola Radziszowska Kapelanka 02;;2794-02;49.904022777;19.825935833;;;;;;;
2433-1;Wola Radziszowska Lipki 01;;2433-01;49.910016666;19.799267777;;;;;;;
2433-2;Wola Radziszowska Lipki 02;;2433-02;49.910270000;19.797869444;;;;;;;
2431-1;Wola Radziszowska Mała Ostra Góra 01;;2431-01;49.906863888;19.814426944;;;;;;;
2431-2;Wola Radziszowska Mała Ostra Góra 02;;2431-02;49.906731111;19.815010277;;;;;;;
2432-1;Wola Radziszowska Most 01;;2432-01;49.907679722;19.804016111;;;;;;;
2432-2;Wola Radziszowska Most 02;;2432-02;49.907196944;19.804735555;;;;;;;
2435-1;Wola Radziszowska Pętla 01;;2435-01;49.902490277;19.768397500;;;;;;;
2449-1;Wola Radziszowska Podgaźle 01;;2449-01;49.909914166;19.793716944;;;;;;;
2449-2;Wola Radziszowska Podgaźle 02;;2449-02;49.909590833;19.792115555;;;;;;;
2616-1;Wola Zabierzowska Chałupki 01;;2616-01;50.070071388;20.333165833;;;;;;;
2616-2;Wola Zabierzowska Chałupki 02;;2616-02;50.070179722;20.334790277;;;;;;;
2144-1;Wola Zachariaszowska Słoneczna 01;;2144-01;50.155562222;19.936395000;;;;;;;
2144-2;Wola Zachariaszowska Słoneczna 02;;2144-02;50.155645833;19.936178055;;;;;;;
2143-1;Wola Zachariaszowska Szkoła 01;;2143-01;50.150470833;19.931564722;;;;;;;
2143-2;Wola Zachariaszowska Szkoła 02;;2143-02;50.150508888;19.931358055;;;;;;;
250-1;Wolica Kościół 01;;250-01;50.054934444;20.202362222;;;;;;;
250-2;Wolica Kościół 02;;250-02;50.055009722;20.202377500;;;;;;;
241-1;Wolica Most 01;;241-01;50.051725277;20.207439166;;;;;;;
241-2;Wolica Most 02;;241-02;50.052097222;20.206222777;;;;;;;
249-1;Wolica Szkoła 01;;249-01;50.055779722;20.194114166;;;;;;;
249-2;Wolica Szkoła 02;;249-02;50.055857777;20.193374444;;;;;;;
2540-1;Wołowice Grotowa 01;;2540-01;49.983667222;19.759075000;;;;;;;
2540-2;Wołowice Grotowa 02;;2540-02;49.983763611;19.758980555;;;;;;;
2297-1;Wołowice Grotowa Skrzyżowanie 01;;2297-01;49.984623611;19.754590555;;;;;;;
2297-81;Wołowice Grotowa Skrzyżowanie 81;;2297-81;49.984536666;19.754660000;;;;;;;
2306-1;Wołowice Kapliczka 01;;2306-01;49.986552777;19.727978333;;;;;;;
2306-2;Wołowice Kapliczka 02;;2306-02;49.986314166;19.727959722;;;;;;;
2504-1;Wołowice Niwka 01;;2504-01;49.988192500;19.706056666;;;;;;;
2504-2;Wołowice Niwka 02;;2504-02;49.988199722;19.705124722;;;;;;;
2503-1;Wołowice Pichonówka 01;;2503-01;49.988550833;19.712916111;;;;;;;
2503-2;Wołowice Pichonówka 02;;2503-02;49.988523055;19.711663055;;;;;;;
2298-2;Wołowice Remiza 02;;2298-02;49.989681388;19.727440555;;;;;;;
2298-4;Wołowice Remiza 04;;2298-04;49.988677500;19.726920833;;;;;;;
2298-5;Wołowice Remiza 05;;2298-05;49.989211944;19.726416944;;;;;;;
2298-84;Wołowice Remiza 84;;2298-84;49.989362500;19.727224444;;;;;;;
2502-1;Wołowice Sklep 01;;2502-01;49.989452500;19.721189722;;;;;;;
2502-2;Wołowice Sklep 02;;2502-02;49.989454444;19.720578055;;;;;;;
2501-1;Wołowice Skrzyżowanie 01;;2501-01;49.995253888;19.734499444;;;;;;;
2501-2;Wołowice Skrzyżowanie 02;;2501-02;49.995387777;19.734064166;;;;;;;
2299-1;Wołowice Szkoła 01;;2299-01;49.993675000;19.731028611;;;;;;;
2299-2;Wołowice Szkoła 02;;2299-02;49.993867777;19.731407777;;;;;;;
2305-1;Wołowice Zawierzbie 01;;2305-01;49.981737222;19.745028888;;;;;;;
2305-2;Wołowice Zawierzbie 02;;2305-02;49.981701388;19.744970833;;;;;;;
699-1;Wrobela 01;;699-01;50.047367777;20.065761388;;;;;;;
699-2;Wrobela 02;;699-02;50.047584722;20.066327222;;;;;;;
371-1;Wrocławska 01;;371-01;50.077293611;19.926271111;;;;;;;
371-2;Wrocławska 02;;371-02;50.076442222;19.927984444;;;;;;;
540-1;Wrony 01;;540-01;49.995429722;19.852586666;;;;;;;
540-2;Wrony 02;;540-02;49.995085833;19.851497777;;;;;;;
540-3;Wrony 03;;540-03;49.995481666;19.853133333;;;;;;;
603-2;Wróblowice 02;;603-02;49.980611111;19.944398888;;;;;;;
603-4;Wróblowice 04;;603-04;49.980222500;19.944822222;;;;;;;
603-6;Wróblowice 06;;603-06;49.979315833;19.944356388;;;;;;;
602-1;Wróblowice Szkoła 01;;602-01;49.983987500;19.944627500;;;;;;;
602-2;Wróblowice Szkoła 02;;602-02;49.984554444;19.944540555;;;;;;;
233-1;Wróżenice 01;;233-01;50.113666666;20.189636388;;;;;;;
233-81;Wróżenice 81;;233-81;50.113630555;20.189603333;;;;;;;
232-1;Wróżenice Górka 01;;232-01;50.112908055;20.182453888;;;;;;;
232-2;Wróżenice Górka 02;;232-02;50.112823333;20.182460277;;;;;;;
234-1;Wróżenicka 01;;234-01;50.112315555;20.178202500;;;;;;;
234-2;Wróżenicka 02;;234-02;50.112233333;20.178237222;;;;;;;
2206-1;Wrząsowice Bonifraterska 01;;2206-01;49.948411666;19.946875277;;;;;;;
2206-2;Wrząsowice Bonifraterska 02;;2206-02;49.947760833;19.947070555;;;;;;;
2205-1;Wrząsowice Centrum 01;;2205-01;49.959903055;19.943977222;;;;;;;
2205-2;Wrząsowice Centrum 02;;2205-02;49.960092777;19.944270277;;;;;;;
2201-1;Wrząsowice Kowaleca 01;;2201-01;49.954304444;19.945561111;;;;;;;
2201-2;Wrząsowice Kowaleca 02;;2201-02;49.953815555;19.946413888;;;;;;;
2211-1;Wrząsowice Nad Wilgą 01;;2211-01;49.967777222;19.952391388;;;;;;;
2211-2;Wrząsowice Nad Wilgą 02;;2211-02;49.967257500;19.953401666;;;;;;;
2281-1;Wrząsowice Pileckiego 01;;2281-01;49.957375000;19.946185000;;;;;;;
2281-2;Wrząsowice Pileckiego 02;;2281-02;49.957473888;19.946181111;;;;;;;
2212-1;Wrząsowice Pod Skałą 01;;2212-01;49.961397777;19.954335555;;;;;;;
2212-2;Wrząsowice Pod Skałą 02;;2212-02;49.961780833;19.954251666;;;;;;;
2380-1;Wrząsowice Spacerowa 01;;2380-01;49.969438055;19.945921111;;;;;;;
2380-2;Wrząsowice Spacerowa 02;;2380-02;49.969736388;19.946099722;;;;;;;
2204-1;Wrząsowice Wrzosowa 01;;2204-01;49.963429444;19.945872500;;;;;;;
2204-2;Wrząsowice Wrzosowa 02;;2204-02;49.963683333;19.945857777;;;;;;;
2207-1;Wrząsowice Zielona 01;;2207-01;49.942431388;19.943453055;;;;;;;
2207-2;Wrząsowice Zielona 02;;2207-02;49.942946944;19.944067500;;;;;;;
384-1;Wybickiego 01;;384-01;50.083789722;19.926369166;;;;;;;
